,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
16,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),21:35,08:15,10h 40m,INR 771,7 Seats available,3.7
17,Pune to Goa,PSR Travels Goa,A/C Sleeper (2+1),23:45,09:15,09h 30m,INR 599,11 Seats available,3.8
18,Pune to Goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),21:45,08:45,11h 00m,INR 1220,29 Seats available,4.1
19,Pune to Goa,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),23:15,09:35,10h 20m,INR 900,10 Seats available,4.0
20,Pune to Goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),19:45,06:45,11h 00m,INR 400,22 Seats available,3.3
21,Pune to Goa,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),21:30,08:30,11h 00m,INR 660,17 Seats available,3.9
22,Pune to Goa,Anand Travels,NON A/C Sleeper (2+1),21:30,09:30,12h 00m,549,14 Seats available,3.5
23,Pune to Goa,Dolphin travel house,A/C Sleeper (2+1),23:45,10:45,11h 00m,INR 660,22 Seats available,3.0
24,Pune to Goa,Dolphin Travel House (39),A/C Sleeper (2+1),22:30,09:15,10h 45m,INR 660,28 Seats available,2.7
25,Pune to Goa,Humsafar Travels,A/C Sleeper (2+1),22:15,09:00,10h 45m,INR 1250,21 Seats available,3.4
26,Pune to Goa,Humsafar Travels,A/C Sleeper (2+1),22:15,09:15,11h 00m,INR 1250,19 Seats available,4.0
27,Pune to Goa,PVS Tours and Travels,A/C Sleeper (2+1),22:45,08:45,10h 00m,INR 3000,32 Seats available,3.4
28,Pune to Goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),19:45,06:45,11h 00m,INR 400,23 Seats available,3.4
29,Pune to Goa,Maa tours & Travels,A/C Seater (2+2),23:29,10:00,10h 31m,INR 1800,20 Seats available,1.2
30,Pune to Goa,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,07:15,09h 15m,INR 550,28 Seats available,4.0
31,Pune to Goa,PVS Tours and Travels,A/C Seater Push Back (2+2),22:45,08:45,10h 00m,INR 3000,45 Seats available,3.4
32,Goa to Pune,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,09:10,10h 40m,INR 850,16 Seats available,4.8
33,Goa to Pune,Atmaram Gobus,VE A/C Sleeper (2+1),21:32,06:22,08h 50m,INR 800,15 Seats available,4.7
34,Goa to Pune,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,10:00,11h 30m,INR 849,13 Seats available,4.5
35,Goa to Pune,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,05:20,11h 10m,802,9 Seats available,4.5
36,Goa to Pune,IntrCity SmartBus,AC Sleeper (2+1),21:00,07:05,10h 05m,INR 1676,5 Seats available,4.4
37,Goa to Pune,IntrCity SmartBus,AC Sleeper (2+1),18:30,05:25,10h 55m,INR 1178,6 Seats available,4.4
38,Goa to Pune,Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,06:30,10h 30m,INR 450,9 Seats available,4.4
39,Goa to Pune,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,06:30,11h 30m,INR 599,7 Seats available,4.4
40,Goa to Pune,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),18:00,06:10,12h 10m,INR 899,9 Seats available,4.5
41,Goa to Pune,Prasanna Purple Big Bus,VE A/C Sleeper (2+1),22:00,07:30,09h 30m,INR 920,17 Seats available,4.3
42,Goa to Pune,Atmaram Gobus,NON A/C Sleeper (2+1),20:01,06:31,10h 30m,INR 600,4 Seats available,4.2
43,Goa to Pune,Zingbus Plus,VE A/C Sleeper (2+1),20:25,07:15,10h 50m,930,17 Seats available,4.7
44,Goa to Pune,Giroba Travels (ST.Christopher),Non AC Seater (2+2),18:00,05:30,11h 30m,INR 450,15 Seats available,No rating
45,Goa to Pune,Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:00,07:15,10h 15m,INR 820,16 Seats available,4.0
46,Goa to Pune,Prasanna - Purple Bus,VE A/C Sleeper (2+1),17:00,05:00,12h 00m,INR 900,12 Seats available,4.1
47,Goa to Pune,Amrutyog Travels,A/C Sleeper (2+1),19:00,06:22,11h 22m,INR 699,22 Seats available,4.1
48,Goa to Pune,Laxmi Queen Prime,A/C Sleeper (2+1),19:30,06:30,11h 00m,INR 799,9 Seats available,4.0
49,Goa to Pune,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,07:45,09h 45m,INR 800,15 Seats available,4.5
50,Goa to Pune,Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),18:00,06:15,12h 15m,INR 920,10 Seats available,3.9
51,Goa to Pune,Laxmi Queen Asta,A/C Sleeper (2+1),20:30,07:00,10h 30m,INR 799,21 Seats available,4.0
52,Goa to Pune,Zingbus Plus,VE A/C Sleeper (2+1),19:40,06:10,10h 30m,641,28 Seats available,4.3
53,Goa to Pune,Atmaram Travels Goa,A/C Sleeper (2+1),17:30,05:00,11h 30m,INR 750,17 Seats available,3.7
54,Goa to Pune,Atmaram Travels(KVT Narmada Red),Bharat Benz A/C Sleeper (2+1),21:16,07:31,10h 15m,INR 750,2 Seats available,4.0
55,Goa to Pune,Atmaram Travels Goa,A/C Sleeper (2+1),14:30,01:00,10h 30m,INR 850,16 Seats available,3.7
56,Goa to Pune,Atmaram Travels Goa,A/C Sleeper (2+1),16:30,04:25,11h 55m,INR 750,22 Seats available,4.1
57,Goa to Pune,Atmaram Travels (Shreyas),Bharat Benz A/C Sleeper (2+1),20:03,05:48,09h 45m,INR 3500,30 Seats available,3.9
58,Goa to Pune,Atmaram Travels Goa,A/C Sleeper (2+1),19:00,06:00,11h 00m,INR 650,18 Seats available,4.3
59,Goa to Pune,Atmaram Gobus,NON A/C Sleeper (2+1),21:02,07:32,10h 30m,INR 599,17 Seats available,4.7
60,Goa to Pune,"National Travels,Goa",NON A/C Sleeper (2+1),19:00,06:20,11h 20m,INR 550,18 Seats available,4.1
61,Goa to Pune,Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),20:00,08:05,12h 05m,INR 3000,13 Seats available,3.7
62,Goa to Pune,VAILANKANNI TRAVELS,VE A/C Sleeper (2+1),18:30,06:55,12h 25m,INR 700,26 Seats available,3.4
63,Goa to Pune,Anand Travels,NON A/C Sleeper (2+1),18:00,04:00,10h 00m,639,10 Seats available,3.1
64,Goa to Pune,Atmaram Travels (Humsafar),Bharat Benz A/C Sleeper (2+1),19:30,05:00,09h 30m,INR 799,3 Seats available,3.6
65,Goa to Pune,Atmaram Travels ( Gogte ),NON A/C Sleeper (2+1),21:15,07:45,10h 30m,INR 2000,36 Seats available,3.5
66,Goa to Pune,Atmaram Travels Goa,A/C Sleeper (2+1),22:31,08:31,10h 00m,INR 999,21 Seats available,3.0
67,Goa to Pune,Manish Roshan Travels,A/C Sleeper (2+1),19:00,06:30,11h 30m,INR 649,28 Seats available,3.6
68,Goa to Pune,Atmaram Travels Goa,A/C Sleeper (2+1),15:30,02:30,11h 00m,INR 750,21 Seats available,3.9
69,Goa to Pune,Atmaram Travels (Unity),A/C Sleeper (2+1),20:00,06:30,10h 30m,INR 660,24 Seats available,3.9
70,Goa to Pune,Atmaram Travels Goa,AC Sleeper (2+1),18:30,05:30,11h 00m,INR 606,20 Seats available,3.5
71,Goa to Pune,Sai Travels - Shree Sai,NON A/C Push Back (2+2),17:30,05:00,11h 30m,INR 5000,45 Seats available,3.2
72,Goa to Pune,PVS Tours and Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:00,06:00,10h 00m,INR 3000,36 Seats available,3.4
73,Goa to Pune,AAINATH TRAVELS,A/C Sleeper (2+1),21:30,06:30,09h 00m,INR 1200,23 Seats available,2.5
74,Goa to Pune,Jolly Tours and Travels,VE A/C Sleeper (2+1),17:30,04:45,11h 15m,1739,5 Seats available,3.6
75,Goa to Pune,Maa tours & Travels,A/C Seater (2+2),16:00,04:00,12h 00m,INR 2500,49 Seats available,1.7
76,Goa to Pune,VRL Travels,A/C Sleeper (2+1),19:30,05:30,10h 00m,INR 1100,13 Seats available,3.8
77,Mumbai to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),17:00,10:00,17h 00m,711,6 Seats available,4.6
78,Mumbai to Goa,IntrCity SmartBus,AC Sleeper (2+1),17:00,08:15,15h 15m,INR 771,7 Seats available,4.3
79,Mumbai to Goa,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:55,09:35,13h 40m,INR 900,10 Seats available,4.3
80,Mumbai to Goa,AdDolphin Travel House (40),A/C Sleeper (2+1),20:45,14:00,17h 15m,INR 760,18 Seats available,3.8
81,Mumbai to Goa,IntrCity SmartBus,AC Sleeper (2+1),16:00,08:20,16h 20m,INR 599,11 Seats available,4.2
82,Mumbai to Goa,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),15:30,08:30,17h 00m,INR 760,18 Seats available,4.2
83,Mumbai to Goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),14:20,06:30,16h 10m,INR 910,11 Seats available,4.1
84,Mumbai to Goa,Konkan Travels National,NON A/C Sleeper (2+1),19:25,09:45,14h 20m,832,8 Seats available,4.0
85,Mumbai to Goa,Dolphin travel house,A/C Sleeper (2+1),17:45,10:45,17h 00m,INR 760,21 Seats available,3.4
86,Mumbai to Goa,GANESH PRASAD TRAVELS,A/C Seater (2+2),21:00,10:55,13h 55m,INR 2500,49 Seats available,No rating
87,Mumbai to Goa,GANESH PRASAD TRAVELS,NON A/C Seater (2+2),20:00,09:55,13h 55m,INR 2500,49 Seats available,No rating
88,Mumbai to Goa,Jolly Tours and Travels,VE A/C Sleeper (2+1),18:35,07:05,12h 30m,740,10 Seats available,4.0
89,Mumbai to Goa,Shubham Vailankanni Travels,VE A/C Sleeper (2+1),20:30,12:05,15h 35m,INR 700,24 Seats available,3.3
90,Mumbai to Goa,Anand Travels,NON A/C Sleeper (2+1),16:50,09:30,16h 40m,549,14 Seats available,3.3
91,Mumbai to Goa,Global Travel Agency (GTA),A/C Sleeper (2+1),17:50,11:35,17h 45m,INR 700,23 Seats available,4.1
92,Mumbai to Goa,Konkan Travels National,A/C Sleeper (2+1),18:00,10:55,16h 55m,832,8 Seats available,4.0
93,Mumbai to Goa,Dolphin Travel House (39),A/C Sleeper (2+1),16:30,09:15,16h 45m,INR 760,28 Seats available,3.0
94,Mumbai to Goa,Shubham Saijyoti Travels,A/C Sleeper (2+1),21:55,12:00,14h 05m,INR 700,15 Seats available,3.7
95,Mumbai to Goa,Mascot Travels(M.Dev),A/C Sleeper (2+1),19:00,12:00,17h 00m,618,7 Seats available,4.5
96,Mumbai to Goa,PVS Tours and Travels,A/C Sleeper (2+1),18:35,08:45,14h 10m,INR 3000,32 Seats available,3.4
97,Mumbai to Goa,Naik Tours And Travels,Bharat Benz A/C Sleeper (2+1),20:30,10:00,13h 30m,INR 1200,24 Seats available,2.3
98,Mumbai to Goa,Roshan Travels - Humrahi,Benz A/C Sleeper (2+1),18:45,11:45,17h 00m,759,20 Seats available,2.6
99,Mumbai to Goa,Maa tours & Travels,A/C Seater (2+2),17:20,10:00,16h 40m,INR 1800,20 Seats available,2.1
100,Mumbai to Goa,Naik Tours And Travels,AC Seater (2+2),22:00,10:00,12h 00m,INR 1200,37 Seats available,1.6
101,Mumbai to Goa,Roshan Travels - Humrahi,A/C Sleeper (2+1),17:30,10:00,16h 30m,760,14 Seats available,2.2
102,Mumbai to Goa,Konkan Travels National,A/C Sleeper (2+1),19:25,09:45,14h 20m,832,6 Seats available,3.5
103,Mumbai to Goa,PVS Tours and Travels,A/C Seater Push Back (2+2),18:35,08:45,14h 10m,INR 3000,45 Seats available,3.4
104,Mumbai to Goa,Atmaram Travels,A/C Sleeper (2+1),17:45,08:45,15h 00m,833,4 Seats available,2.6
105,Mumbai to Goa,Atmaram Travels,A/C Seater / Sleeper (2+1),19:00,11:15,16h 15m,925,8 Seats available,No rating
106,Goa to Mumbai,Kadamba Transport Corporation Limited (KTCL) - 116186,Volvo AC Seater 2+2,18:30,08:00,13h 30m,INR 700,26 Seats available,3.8
107,Goa to Mumbai,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,09:05,14h 55m,842,9 Seats available,4.4
108,Goa to Mumbai,IntrCity SmartBus,AC Sleeper (2+1),21:00,11:20,14h 20m,INR 1676,5 Seats available,4.3
109,Goa to Mumbai,Atmaram Travels Goa,A/C Sleeper (2+1),14:30,05:15,14h 45m,INR 850,16 Seats available,4.3
110,Goa to Mumbai,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:30,08:10,12h 40m,INR 899,9 Seats available,4.3
111,Goa to Mumbai,IntrCity SmartBus,AC Sleeper (2+1),18:30,09:00,14h 30m,INR 1178,6 Seats available,4.2
112,Goa to Mumbai,Zingbus Plus,VE A/C Sleeper (2+1),20:25,11:50,15h 25m,792,17 Seats available,4.5
113,Goa to Mumbai,Zingbus Plus,VE A/C Sleeper (2+1),19:40,10:45,15h 05m,675,27 Seats available,4.4
114,Goa to Mumbai,Atmaram Travels Goa,A/C Sleeper (2+1),17:30,09:25,15h 55m,INR 750,17 Seats available,4.1
115,Goa to Mumbai,GANESH PRASAD TRAVELS,A/C Seater (2+2),17:20,08:30,15h 10m,INR 2500,49 Seats available,No rating
116,Goa to Mumbai,GANESH PRASAD TRAVELS,NON A/C Seater (2+2),16:20,07:15,14h 55m,INR 2000,49 Seats available,No rating
117,Goa to Mumbai,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,11:50,13h 50m,INR 800,15 Seats available,4.2
118,Goa to Mumbai,Atmaram Travels Goa,A/C Sleeper (2+1),15:30,06:45,15h 15m,INR 750,20 Seats available,4.2
119,Goa to Mumbai,VAILANKANNI TRAVELS,VE A/C Sleeper (2+1),20:40,09:30,12h 50m,INR 700,26 Seats available,3.7
120,Goa to Mumbai,Atmaram Travels Goa,A/C Sleeper (2+1),19:00,09:35,14h 35m,INR 650,18 Seats available,3.6
121,Goa to Mumbai,Atmaram Travels Goa,A/C Sleeper (2+1),16:30,07:50,15h 20m,INR 750,22 Seats available,3.6
122,Goa to Mumbai,Atmaram Travels (Unity),A/C Sleeper (2+1),20:00,10:35,14h 35m,INR 660,24 Seats available,4.1
